Date,3105.TWO,3037.TW,6515.TW,00981A.TW,2383.TW,3081.TWO,6274.TWO,2454.TW
2026-03-18,0.09880750,0.06813996,0.09063444,0.02751840,0.00000000,0.06666667,0.05148515,0.00000000
2026-03-19,0.09922481,0.00172414,-0.00138504,0.00621717,0.07037037,0.06944444,0.09981168,-0.02890173
2026-03-20,-0.02961918,-0.04647160,0.09986130,-0.00095059,-0.02768166,0.06493506,-0.05136986,0.01190476
2026-03-23,-0.08430233,-0.09927798,-0.00567465,-0.03235016,-0.00533808,-0.09756098,-0.02888087,-0.04411765
2026-03-24,-0.00476190,-0.07815631,0.03868104,-0.01622418,-0.03935599,-0.05405405,0.00557621,-0.00307692
2026-03-25,0.09888357,0.10000000,0.03174603,0.04297854,0.05959032,0.10000000,0.07208872,0.00000000
2026-03-26,0.04063861,-0.00790514,-0.03609467,0.00239575,0.03514938,0.09740260,0.04482759,-0.01851852
2026-03-27,0.06694561,0.00597610,-0.02823818,-0.00382409,-0.01188455,0.01775148,0.03300330,-0.00314465
2026-03-30,0.02091503,-0.02277228,-0.03032217,-0.01871398,-0.04295533,-0.00581395,-0.03833866,-0.04731861
2026-03-31,-0.09987196,-0.09929078,-0.06840391,-0.04743282,-0.06642729,-0.07894737,-0.05481728,-0.01324503
2026-04-01,0.07112376,0.09898763,0.01958042,0.06057497,0.10000000,0.09841270,0.09490334,-0.01677852
2026-04-02,-0.00132802,0.06243603,-0.09396433,-0.02129722,-0.02622378,0.05491329,-0.00321027,0.00000000
2026-04-07,0.08244681,0.08670520,0.07494322,0.02571714,0.03590664,0.09863014,0.09983897,0.00341297
2026-04-08,0.08108108,0.09929078,0.10000000,0.07039542,0.09878683,0.01745636,0.06149341,0.07482993
2026-04-09,-0.00909091,0.00806452,0.02368758,0.01711708,0.01577287,0.03186275,0.09931034,-0.00316456
2026-04-10,0.06422018,0.02080000,-0.00813008,0.02435781,0.06211180,0.09976247,0.01380176,0.00000000
2026-04-13,-0.01293103,-0.01880878,0.07944515,-0.00432332,-0.02777778,0.00215983,-0.00866337,0.02857143
2026-04-14,-0.00218341,-0.04632588,-0.01051402,0.02561876,0.08421053,-0.06250000,0.07365793,0.06172840
