id,category,name,desc,alias,waste,kcal,kcal_adj,water,protein,fat,satfat,carb,fiber,sugar,sodium,vitA,vitC,potassium,calcium,magnesium,iron,zinc
E3200801,蔬菜類,小白菜(有機)(1月取樣),"樣品狀態:生; 前處理描述:去根部,混合均勻打碎","土白菜,青菜,白菜,不結球白菜,水白菜",,9.2122,6.2911,96.15,1.842,0.17,0.0,0.7598,1.5374,,79.227,,0.065,218.173,132.967,18.316,1.2222,0.5593
E3200802,蔬菜類,小白菜(有機)(4月取樣),"樣品狀態:生; 前處理描述:去根部,混合均勻打碎","土白菜,青菜,白菜,不結球白菜,水白菜",,14.4059,12.1759,95.039,1.254,0.195,,2.4329,1.1737,,39.6322,,0.0996,320.0733,135.5087,23.4245,1.2304,0.3292
E3200803,蔬菜類,小白菜(有機)(7月取樣),"樣品狀態:生; 前處理描述:去根部,混合均勻打碎","土白菜,青菜,白菜,不結球白菜,水白菜",6.1,10.9009,8.4181,95.958,1.258,0.097,,1.7418,1.3067,,32.9271,,0.192,259.8853,127.3978,11.515,0.6679,0.2318
E3200804,蔬菜類,小白菜(有機)(10月取樣),"樣品狀態:生; 前處理描述:去根部,混合均勻打碎","土白菜,青菜,白菜,不結球白菜,水白菜",,12.9507,10.9443,95.68,1.347,0.24,,1.9007,1.056,,23.03,,0.0963,294.44,145.07,16.98,1.753,0.486
E3200901,蔬菜類,珍珠小白菜,"樣品狀態:生; 前處理描述:去根部,混合均勻打碎",珍珠白菜,14.8,11.1145,7.9234,95.578,1.497,0.0718,0.0354,1.6901,1.6795,0.081,4.039,,0.085,392.749,138.125,23.846,0.81,0.421
E3201001,蔬菜類,油菜心,樣品狀態:生; 前處理描述:混合均勻打碎,,,30.9035,26.5335,91.1,3.2,0.85,,3.95,2.3,,21.0,,0.012,240.0,92.0,23.0,1.8,0.5
E3201101,蔬菜類,油菜(有機),"樣品狀態:生,去根部; 前處理描述:混合均勻打碎",蕓苔,10.3,12.9931,10.2339,95.04,1.303,0.113,0.0508,2.2137,1.4522,0.243,23.71,0.1671,0.11,444.05,112.0,21.94,1.32,0.15
E3201201,蔬菜類,青江菜(土植)(1月取樣),樣品狀態:生; 前處理描述:混合均勻打碎,"江門白菜, 湯匙菜,青梗白菜",,10.1525,8.0114,96.36,1.307,0.049,,1.62,1.1269,,73.07,,0.044,113.996,72.458,13.43,0.9723,0.4439
E3201202,蔬菜類,青江菜(土植)(3月取樣),樣品狀態:生; 前處理描述:混合均勻打碎,"江門白菜 ,湯匙菜,青梗白菜",9.9,12.8607,10.5688,95.57,1.233,0.13,0.0554,2.1903,1.2063,0.374,53.14,0.3115,0.11,246.13,93.39,16.14,1.39,0.37
E3201203,蔬菜類,青江菜(土植)(4月取樣),樣品狀態:生; 前處理描述:混合均勻打碎,"江門白菜, 湯匙菜,青梗白菜",,10.7355,8.8606,96.365,0.96,0.125,,1.8395,0.9868,,110.1956,,0.116,86.3894,91.1111,22.5301,1.1085,0.3143
